expert,post_rank,posted_at,post_url,local_file
Jason Bay,1,2026-06-25,https://www.linkedin.com/posts/jasondbay_first-outbound-squad-off-site-in-the-books-activity-7475895650052726784-9frh,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,2,2026-06-24,https://www.linkedin.com/posts/jasondbay_adam-block-is-the-former-cro-at-motive-a-activity-7475563454456586240-zf48,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,3,2026-06-23,https://www.linkedin.com/posts/jasondbay_we-recently-helped-300-aes-at-iheartmedia-activity-7475201033279819796-JPN4,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,4,2026-06-22,https://www.linkedin.com/posts/jasondbay_i-send-10000-cold-emails-a-day-but-i-activity-7474838615852883968-xPGk,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,5,2026-06-19,https://www.linkedin.com/posts/jasondbay_luke-abbott-is-one-of-the-best-sales-execs-activity-7473751461827616768-Pt3_,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,6,2026-06-18,https://www.linkedin.com/posts/jasondbay_if-i-was-a-bdr-or-ae-trying-to-break-into-activity-7473389073361973248-cyNd,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,7,2026-06-17,https://www.linkedin.com/posts/jasondbay_if-i-were-looking-to-hire-my-next-all-star-activity-7473026692974792704-NdUh,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,8,2026-06-16,https://www.linkedin.com/posts/jasondbay_cold-outbound-is-only-one-flavor-of-pipegen-activity-7472664393638547457-vKQU,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,9,2026-06-11,https://www.linkedin.com/posts/jasondbay_250-sales-teams-10000-reps-heres-the-activity-7470853434464989184-mCNH,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,10,2026-06-11,https://www.linkedin.com/posts/jasondbay_cults-ai-in-sales-and-bank-robberies-what-activity-7470834115928342528-ZYJb,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,11,2026-06-10,https://www.linkedin.com/posts/jasondbay_best-thing-weve-done-this-year-is-getting-activity-7470507937036398592-C8fp,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,12,2026-06-09,https://www.linkedin.com/posts/jasondbay_not-all-humans-are-fit-for-outbound-tara-activity-7470127581493825537-wSb7,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,13,2026-06-05,https://www.linkedin.com/posts/jasondbay_i-disagree-that-the-first-line-of-a-cold-activity-7468678070321770497-EtBb,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,14,2026-06-04,https://www.linkedin.com/posts/jasondbay_rippling-has-some-crazy-good-plays-for-booking-activity-7468315673451143169-ZylD,research/linkedin-posts/jason-bay/posts.csv
Jason Bay,15,2026-06-03,https://www.linkedin.com/posts/jasondbay_the-buyer-needs-to-respect-you-before-they-activity-7467953272067354624-Kdk5,research/linkedin-posts/jason-bay/posts.csv
Armand Farrokh,1,2026-06-25,https://www.linkedin.com/posts/armand-farrokh_prospect-says-will-you-hold-the-price-till-activity-7475964057230143488-mHRl,research/linkedin-posts/armand-farrokh/posts.csv
Armand Farrokh,2,2026-06-22,https://www.linkedin.com/posts/armand-farrokh_sales-people-get-a-bad-rap-because-theres-activity-7474850995311648771-o0t8,research/linkedin-posts/armand-farrokh/posts.csv
Armand Farrokh,3,2026-06-16,https://www.linkedin.com/posts/armand-farrokh_this-is-my-go-to-negotiation-question-that-activity-7472700037303541760-aD_U,research/linkedin-posts/armand-farrokh/posts.csv
Armand Farrokh,4,2026-06-10,https://www.linkedin.com/posts/armand-farrokh_wanna-book-more-meetings-on-linkedin-dont-activity-7470495116378554370-wCB3,research/linkedin-posts/armand-farrokh/posts.csv
